industry,application,product_type_code,fit_score,rationale
Machine tool,Rotary axis (B/C),5kh_series,4,5KH series high-precision planetary with low backlash and high stiffness meets the reversing-load and lost-motion requirements of a B/C axis.
Machine tool,Spindle drive (low-speed high-torque),zf_s_series,5,"ZF-S series is explicitly designed for machine tool spindle drives in lathes and VMCs, with helical gearing, low backlash, high radial load, and 24V shift-by-wire actuation."
Material handling,Tunnel boring / pipe jacking drive,pwzd,5,"PWZD series is explicitly designed for tunnel boring and pipe jacking, with carburized/ground gears, motor-direct input, ultra-compact housing, and >20% higher load capacity than standard planetaries."
Mobile machinery,Crane slewing drive,pwhz_rotary,5,"PWHZ rotary planetary gearbox is explicitly designed for slewing in truck cranes, crawler cranes, and ship decks, with integrated wet multi-disc brake and modular planetary stages."
Packaging,Servo indexing table,caesarplanetary,4,CaesarPlanetary's low-backlash HP variant and high-torque HT variant with common mounting interface allow easy torque scaling for indexing dials without bracket redesign.
Packaging,Servo indexing table,5kh_series,4,5KH series high-precision planetary gearbox with low backlash and high torque density suits the intermittent high-peak-torque demands of a packaging indexer.
Packaging,Servo indexing table,r_series,3,"R series general-purpose planetary gearbox with IP65 and 20,000 h life can handle indexing duty, though its backlash (8 arcmin) is higher than ideal for precise station alignment."
Robotics,AGV / AMR wheel drive,agv_drive_wheel_kfq150,5,"KFQ150 is an integrated AGV drive wheel combining servo motor and high-precision gearmotor in a compact hub design with resin-rubber tire, exactly matching AGV drivetrain requirements."
Robotics,AGV / AMR wheel drive,xgv_series,5,"XGV series servo integrated drive wheel with coaxial motor+reducer, available in 500W–1500W with 150/180mm wheels, is explicitly designed for AGV/AMR drive applications."
Robotics,AGV / AMR wheel drive,pwzq_series,4,"PWZQ hub-mounted planetary gearbox is designed for direct wheel/drive integration in mobile machinery and AGVs, though it lacks the integrated motor of the KFQ150."
Robotics,AGV / AMR wheel drive,pwjy_series,3,"PWJY series with integrated planetary gear and rubber-coated roller could serve as a drive roller for AGV applications, but it is designed for horizontal installation rather than direct wheel drive."
Robotics,Cobot joint actuation,8_11_series_harmonic,5,"Harmonic drives are the standard for cobot joints; the 8/11 series offers high transmission accuracy, high torsional stiffness, and multiple structural forms (HF, HS, SF, SS) ideal for compact arm integration."
Robotics,Cobot joint actuation,kbd_mc_series,5,KBD-MC series ultra-short harmonic drive reducers in frame sizes 14–32 are purpose-built for compact cobot joints where axial length is critical.
Robotics,Cobot joint actuation,kcd_mc_series,5,KCD-MC series ultra-short component-design harmonic drives with high repeatability and torsional stiffness directly address cobot joint backlash and envelope constraints.
Robotics,Cobot joint actuation,5kh_series,3,"5KH series planetary gearbox offers low backlash and high torque density, but planetary designs are bulkier than harmonic drives for the same reduction in a cobot arm."
Robotics,Humanoid robot joint,w_series,5,"W8 micro gearbox series is explicitly designed for humanoid robot joints and drones, with frame sizes 08–32, high torque density, impact resistance, and low noise."
Robotics,Humanoid robot joint,kbd_mc_series,4,"KBD-MC ultra-short harmonic drive in small frame sizes (14–32) offers the compactness and low backlash needed for humanoid joints, though slightly larger than micro-gearbox options."
Robotics,Humanoid robot joint,kcd_mc_series,4,KCD-MC ultra-short component harmonic drive in frame sizes 14–32 provides high accuracy in a compact package suitable for humanoid joints.
Robotics,Linear joint / lifting axis,kfdg_series,5,"KFDG series direct-coupled electric cylinder integrates servo motor, drive, and ball screw for thrust up to 30 kN and speeds up to 500 mm/s, ideal for robot lifting axes."
Robotics,Linear joint / lifting axis,servo_linear_joint_module,5,"Servo linear joint module with planetary roller screw, real-time sensor feedback, and DC48V power is purpose-built for precise linear motion in robotic joints."
Robotics,Linear joint / lifting axis,kofon_ball_screw,4,"Kofon precision ball screw with ≥90% efficiency, diameters 16–63 mm, and high positioning accuracy can serve as the linear conversion element in a custom linear joint."
Solar,Heliostat / tracker drive,kgr_series,4,"KGR series hypoid right-angle gearbox with IP65, ≤4 arcmin backlash, and tapered roller bearings for high overturning moment is well-suited for outdoor tracker azimuth/elevation drives."
Solar,Heliostat / tracker drive,kr_hypoid_series,4,"K-R series hypoid right-angle gearbox with ≤5 arcmin backlash, IP65, and 96% efficiency provides a compact right-angle solution for solar tracker drives."
Solar,Heliostat / tracker drive,kpx_s_series,3,"KPX-S series hand-input reducer could serve as a manual backup for tracker drives, but is not the primary drive for motorized tracking."
